module1	module2	Both	P1A2	P2A1	A1A2	p_raw	p_adj
HMATmodel_8-NCmodel_5	HMATmodel_8	NCmodel_5	2	3	19	437	0.0182138785133516	0.0182138785133516
HMATmodel_29-NCmodel_5	HMATmodel_29	NCmodel_5	2	1	19	439	0.00577774572370996	0.00577774572370996
HMATmodel_1-NCmodel_30	HMATmodel_1	NCmodel_30	4	7	4	446	1.1836560535727e-05	1.1836560535727e-05
HMATmodel_11-NCmodel_8	HMATmodel_11	NCmodel_8	2	1	18	440	0.00523529226837392	0.00523529226837392
HMATmodel_6-NCmodel_36	HMATmodel_6	NCmodel_36	1	3	3	454	0.0343686175429678	0.0343686175429678
HMATmodel_56-NCmodel_15	HMATmodel_56	NCmodel_15	2	3	1	455	0.000281705942146107	0.000281705942146107
HMATmodel_6-NCmodel_18	HMATmodel_6	NCmodel_18	1	3	2	455	0.025860852058765	0.025860852058765
HMATmodel_57-LMATmodel_43	HMATmodel_57	LMATmodel_4	3	0	22	320	0.00033900603430741	0.00033900603430741
HMATmodel_10-LMATmodel_43	HMATmodel_10	LMATmodel_4	2	1	23	319	0.0144888231184428	0.0144888231184428
HMATmodel_29-LMATmodel_63	HMATmodel_29	LMATmodel_6	2	1	11	331	0.00385906782184201	0.00385906782184201
HMATmodel_7-LMATmodel_73	HMATmodel_7	LMATmodel_7	2	2	12	329	0.00877717911708348	0.00877717911708348
HMATmodel_2-LMATmodel_93	HMATmodel_2	LMATmodel_9	4	5	1	335	1.07332080894285e-06	1.07332080894285e-06
HMATmodel_56-LMATmodel_423	HMATmodel_56	LMATmodel_42	4	1	0	340	8.6195279508622e-09	8.6195279508622e-09
HMATmodel_1-LMATmodel_413	HMATmodel_1	LMATmodel_41	3	8	1	333	9.55733259191601e-05	9.55733259191601e-05
HMATmodel_30-LMATmodel_113	HMATmodel_30	LMATmodel_11	1	2	2	340	0.0259354355637964	0.0259354355637964
HMATmodel_15-LMATmodel_203	HMATmodel_15	LMATmodel_20	1	3	2	339	0.0344798615676228	0.0344798615676228
HMATmodel_22-LMATmodel_293	HMATmodel_22	LMATmodel_29	1	2	2	340	0.0259354355637964	0.0259354355637964
HMATmodel_59-LMATmodel_303	HMATmodel_59	LMATmodel_30	3	2	0	340	1.47393927959744e-06	1.47393927959744e-06
HMATmodel_8-MDmodel_12	HMATmodel_8	MDmodel_1	4	1	25	307	0.000211447618263819	0.000211447618263819
HMATmodel_29-MDmodel_12	HMATmodel_29	MDmodel_1	2	1	27	307	0.0203574117542849	0.0203574117542849
HMATmodel_9-MDmodel_32	HMATmodel_9	MDmodel_3	2	2	15	318	0.0135659413269656	0.0135659413269656
HMATmodel_2-MDmodel_72	HMATmodel_2	MDmodel_7	5	4	11	317	1.39913784259457e-05	1.39913784259457e-05
HMATmodel_15-MDmodel_72	HMATmodel_15	MDmodel_7	2	2	14	319	0.0120189729428668	0.0120189729428668
HMATmodel_1-MDmodel_52	HMATmodel_1	MDmodel_5	4	7	4	322	4.0880940191316e-05	4.0880940191316e-05
HMATmodel_56-MDmodel_112	HMATmodel_56	MDmodel_11	4	1	2	330	1.41390530372079e-07	1.41390530372079e-07
HMATmodel_10-MDmodel_82	HMATmodel_10	MDmodel_8	2	1	6	328	0.00146596394880199	0.00146596394880199
HMATmodel_48-MDmodel_92	HMATmodel_48	MDmodel_9	2	1	4	330	0.000788501325504736	0.000788501325504736
HMATmodel_59-MDmodel_392	HMATmodel_59	MDmodel_39	4	1	0	332	9.4715442796021e-09	9.4715442796021e-09
HMATmodel_8-MDmodel_152	HMATmodel_8	MDmodel_15	1	4	2	330	0.0439820819598489	0.0439820819598489
HMATmodel_59-MDmodel_242	HMATmodel_59	MDmodel_24	1	4	2	330	0.0439820819598489	0.0439820819598489
