Order	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
Bacteria|Firmicutes|Clostridia|Clostridiales	67.6566204688226	73.8586616635397	60.5902092380576	51.0528857763825	40.5892167394236	66.6946671146738	86.0202372809397	85.2464583737628	88.9407384124374	83.2823268309777	81.7339493549446	69.931592039801	64.0693039651637	62.9759258383389	69.8413435852168	68.3955110706703	65.7192132930914	86.6109253065775	68.7785340167493	61.0279765777489	82.1747416992677	89.6466793086161	82.9143231460776	69.5345416469298
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales	6.0130527242062	2.232877029625	0.964765100671141	2.60565080898334	6.62354581400133	10.6777708443335	1.10621034507159	1.28565883951096	1.12913755168162	0.401822217030721	2.97154687066071	5.43117744610282	1.15660207819736	1.08546563874568	0.919881994936003	2.79593018446522	0.696494311963119	0.129319955406912	0.834663753746184	1.28497072218608	1.03571070317986	0.765055907931734	1.83189898579205	1.08449053875496
Bacteria|Firmicutes|Negativicutes|Selenomonadales	0.0586639290166459	0.0115813123943205	0.0394788787998421	0.0289785076068582	0.0274266907412063	0.0216003456055297	0.00707597235653466	0.0121288569765185	0.0217606808675258	0.00934470272164467	0.0302961448155722	0.015547263681592	0.011519941017902	0.00236484888615617	0.0255522776371112	0.0248159483828274	0.00994991874233027	0.020066889632107	0.0196061955577963	0.069128171763175	0.0100310963988364	0.00653893938403191	0.0180705202051004	0.00249308169828725
Bacteria|Firmicutes|Negativicutes|Veillonellales	0.0122216518784679	0.0277951497463693	0.0296091590998816	0.0144892538034291	0.0982789751559893	0.0192003072049153	0.0283038894261386	0.0630700562778964	0.0628641891728523	0.084102324494802	0.154005402812492	0.121786898839138	0.191231020897173	0.0662157688123729	0.0998861762177983	0.0689331899522982	0.0762827103578654	0.0512820512820513	0.0644203568327592	0.069128171763175	0.0877720934898184	0.0283354039974716	0.0587291906665763	0.0149584901897235
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales	0.127105179536066	0.0254788872675052	0	0.176285921275054	0.00457111512353439	0	0.00235865745217822	0.0460896565107704	0.0846248700403782	0.0186894054432893	0.00252467873463102	0.160655058043118	0.0023039882035804	0	0.00929173732258589	0.077205172746574	0.169148618619615	0.020066889632107	0	0.195185426154847	0	0	0.0045176300512751	0.0722993692503303
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	0.0586639290166459	0.0208463623097769	0.0246742992499013	0.00965950253561942	0.0251411331794391	0.00720011520184323	0	0.00970308558121483	0.00241785342972509	0.00934470272164467	0.0126233936731551	0.0103648424543947	0.453885676105338	0.683441328099134	0.0766568329113336	3.0054870819202	0.0795993499386422	0.020066889632107	0.310898243845055	0.374105400130124	0.132912027284582	0.132958434141982	0.368186849178921	0.249308169828725
Bacteria|Proteobacteria|Deltaproteobacteria|Bdellovibrionales	0	0	0	0	0	0	0	0	0	0	0	0	0.0023039882035804	0.0165539422030932	0.0511045552742224	0.215071552651171	0.0364830353885443	0.0222965440356745	0.0784247822311851	0.0487963565387118	0.0025077740997091	0.0174371716907518	0.0429174854871135	0.0174515718880108
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales	0.476644423260248	0.484098858082598	0.651401500197394	0.258391692827819	0.182844604941375	0.148802380838093	1.10385168761941	1.3729866097419	1.9560434246476	1.01623642097886	0.934131131813477	0.824004975124378	0.138239292214824	0.113512746535496	3.39148412274385	6.33082416521907	9.49553911976385	2.49721293199554	14.0604431000196	6.08734547820429	0.155481994181964	0.161293838139454	0.20329335230738	0.179501882276682
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales	0.493754735890103	0.162138373520487	0.18999210422424	0.280125573532963	0.194272392750211	0.252004032064513	0.127367502417624	0.174655540461867	0.379602988466839	0.203247284195772	0.280239339544043	0.287624378109453	0.248830725986683	0.345267937378801	0.281075054008223	0.179226293875975	0.527345693343504	0.149386845039019	0.235274346693555	0.321242680546519	0.152974220082255	0.100263737221823	0.169411126922816	0.294183640397896
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	0.0904402239006624	0.0625390869293308	0.103632056849585	0.111084279159623	0.105135647841291	0.0912014592233476	0.0377385192348515	0	0	0.00233617568041117	0	0	0.0023039882035804	0	0	0	0.00331663958077676	0.00222965440356745	0.00560177015937036	0	0.0050155481994182	0	0	0
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales	8.93647185353572	10.0317327959604	11.8905448085274	27.208403767206	39.1835988389368	0.604809676954831	0.165106021652475	0.194061711624297	0.14748905921323	5.22836117276019	0.176727511424171	10.3233830845771	18.5240651567864	19.5170978574469	8.94562010731957	2.38233104475143	0.421213226758648	0.0869565217391304	1.03632747948352	7.9090761223162	4.52402447587521	0.353102726737723	0.78380881389623	11.9618059883822
