"ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","mean","Label"
"ASV_1","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Unassigned",1522.58333333333,"ASV_1"
"ASV_10","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unassigned","Unassigned",633.583333333333,"ASV_10"
"ASV_100","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Frisingicoccus","Unassigned",54.3333333333333,"ASV_100"
"ASV_102","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Unassigned","Unassigned",64.1666666666667,"ASV_102"
"ASV_103","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Unassigned",101.5,"ASV_103"
"ASV_104","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella","Unassigned",110.5,"ASV_104"
"ASV_108","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Eisenbergiella","Unassigned",94.5,"ASV_108"
"ASV_11","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lacrimispora","Unassigned",970.833333333333,"ASV_11"
"ASV_110","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Faecalicatena","Unassigned",94.8333333333333,"ASV_110"
"ASV_111","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flintibacter","Unassigned",98.9166666666667,"ASV_111"
"ASV_112","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unassigned","Unassigned",216.833333333333,"ASV_112"
"ASV_113","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Schaedlerella","Unassigned",71.1666666666667,"ASV_113"
"ASV_114","Bacteria","Firmicutes","Clostridia","Clostridiales","Unassigned","Unassigned","Unassigned",92.9166666666667,"ASV_114"
"ASV_115","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Stomatobaculum","Unassigned",63.75,"ASV_115"
"ASV_117","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flavonifractor","Unassigned",80.75,"ASV_117"
"ASV_119","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Eisenbergiella","Unassigned",279.916666666667,"ASV_119"
"ASV_12","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unassigned","Unassigned",567.416666666667,"ASV_12"
"ASV_120","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flavonifractor","Unassigned",259.75,"ASV_120"
"ASV_1200","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unassigned","Unassigned",47.3333333333333,"ASV_1200"
"ASV_121","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae_2","Pelotomaculum","Unassigned",65.8333333333333,"ASV_121"
"ASV_1211","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Enterocloster","Unassigned",77.1666666666667,"ASV_1211"
"ASV_1214","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerocolumna","Unassigned",267,"ASV_1214"
"ASV_122","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerotaenia","Unassigned",84.4166666666667,"ASV_122"
"ASV_123","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Clostridium_IV","Unassigned",71.75,"ASV_123"
"ASV_125","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Unassigned",35,"ASV_125"
"ASV_126","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerobutyricum","Unassigned",54.9166666666667,"ASV_126"
"ASV_1277","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor","Unassigned",165.083333333333,"ASV_1277"
"ASV_128","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Unassigned","Unassigned",44.6666666666667,"ASV_128"
"ASV_129","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella","Unassigned",75.9166666666667,"ASV_129"
"ASV_13","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Turicibacter","Unassigned",462.416666666667,"ASV_13"
"ASV_130","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Unassigned","Unassigned",54.0833333333333,"ASV_130"
"ASV_132","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella","Unassigned",68.5,"ASV_132"
"ASV_133","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Sellimonas","Unassigned",131.833333333333,"ASV_133"
"ASV_134","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Kineothrix","Unassigned",118.5,"ASV_134"
"ASV_1343","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lacrimispora","Unassigned",81.5833333333333,"ASV_1343"
"ASV_135","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Kineothrix","Unassigned",128.25,"ASV_135"
"ASV_1356","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Mediterraneibacter","Unassigned",41.4166666666667,"ASV_1356"
"ASV_1357","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unassigned","Unassigned",78.75,"ASV_1357"
"ASV_136","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flintibacter","Unassigned",69.9166666666667,"ASV_136"
"ASV_1368","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Unassigned",52.0833333333333,"ASV_1368"
"ASV_137","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unassigned","Unassigned",80.1666666666667,"ASV_137"
"ASV_1385","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unassigned","Unassigned",1854.5,"ASV_1385"
"ASV_1390","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Enterocloster","Unassigned",162.166666666667,"ASV_1390"
"ASV_14","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa","Unassigned",116.416666666667,"ASV_14"
"ASV_141","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unassigned","Unassigned",39.5833333333333,"ASV_141"
